NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Carrier Operations and Fleet Management,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Comprehensive Transportation Data Warehouse,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,CV Administrative Processes,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Electronic Clearance,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Electronic Driver Logs,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,International Border Electronic Clearance,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Roadside CVO Safety,,,,,,,,d
Commercial Vehicle Administration Center,Class 4,High,Moderate,Moderate,Roadside HAZMAT Security Detection and Mitigation,,,,,,,,
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM,,,,,,,,
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,,,,,,,,
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program,,,,,,,,
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Access Program - Weight Monitoring,,,,,,,,
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Intelligent Speed Compliance,,,,,,,,
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,International Border Registration,,,,,,,,
Commercial Vehicle Administration Center,Class 1,Low,Low,Moderate,Maintenance and Construction Activity Coordination,,,,,,,,
Commercial Vehicle Administration Center,Class 1,Low,Moderate,Low,Map Management,,,,,,,,
