SrcSystem,IPO,DstSystem
CrowdStrike,I ,Media
CrowdStrike,I,Airlines
CrowdStrike,I,Logistics
CrowdStrike,I,Healthcare
CrowdStrike,I,FinancialServices
FinancialServices,P,Airlines
FinancialServices,P,Logistics
FinancialServices,P,Healthcare
FinancialServices,I,CrowdStrike
FinancialServices,I,PublicTransport
OnlineOperations,I,Manufacturing
FinancialServices,P,OnlineOperations
Manufacturing,I,Logistics
Logistics,I,Supermarkets
Logistics,I,RetailStores
Logistics,I,PetrolStations
OnlineOperations,I,EmergencyServices
Media,O,EmergencyServices
StockMarkets,O,FinancialServices
StockMarkets,O,Manufacturing
StockMarkets,O,RetailStores
StockMarkets,O,Supermarkets
StockMarkets,O,Airlines
StockMarkets,O,OnlineOperations
StockMarkets,O,Logistics
StockMarkets,O,PetrolStations
Customers,I,Media
Customers,I,Airlines
Customers,I,Logistics
Customers,I,Healthcare
Customers,I,FinancialServices
Customers,I,PublicTransport
Customers,I,Manufacturing
Customers,I,StockMarkets
Customers,I,PetrolStations
Customers,I,RetailStores
Customers,I,GovernmentServices
Customers,I,EmergencyServices
Customers,I,Supermarkets
Customers,I,OnlineOperations
Workers,I,CrowdStrike
Workers,I,Media
Workers,I,Airlines
Workers,I,Logistics
Workers,I,Healthcare
Workers,I,FinancialServices
Workers,I,PublicTransport
Workers,I,Manufacturing
Workers,I,StockMarkets
Workers,I,PetrolStations
Workers,I,RetailStores
Workers,I,GovernmentServices
Workers,I,EmergencyServices
Workers,I,Supermarkets
Workers,I,OnlineOperations
SocialMedia,I,OnlineOperations
SocialMedia,I,Media
Media,O,SocialMedia
SocialSentiment,I,SocialMedia
Customers,I,SocialSentiment
Workers,I,SocialSentiment
Travellers,I,SocialSentiment
Travellers,I,Airlines
SocialSentiment,P,SocialSentiment
SocialSentiment,I,GovernmentServices
